Uid,Sid,Key,Time,Value,UpdateTime
6173302506,985021106,body_momentum,1775856720,"{""body_momentum"":0,""time"":1775856720}",1775859685
6173302506,985021106,light_sensitivity_value,1775856660,"{""light_sensitivity_value"":0,""time"":1775856660}",1775859672
6173302506,985021106,body_momentum,1775856660,"{""body_momentum"":0,""time"":1775856660}",1775859685
6173302506,985021106,light_sensitivity_value,1775856600,"{""light_sensitivity_value"":0,""time"":1775856600}",1775859672
6173302506,985021106,body_momentum,1775856600,"{""body_momentum"":0,""time"":1775856600}",1775859685
6173302506,985021106,light_sensitivity_value,1775856540,"{""light_sensitivity_value"":0,""time"":1775856540}",1775859672
6173302506,985021106,body_momentum,1775856540,"{""body_momentum"":0,""time"":1775856540}",1775859685
6173302506,985021106,light_sensitivity_value,1775856480,"{""light_sensitivity_value"":0,""time"":1775856480}",1775859672
6173302506,985021106,body_momentum,1775856480,"{""body_momentum"":0,""time"":1775856480}",1775859685
6173302506,985021106,light_sensitivity_value,1775856420,"{""light_sensitivity_value"":0,""time"":1775856420}",1775859672
6173302506,985021106,body_momentum,1775856420,"{""body_momentum"":0,""time"":1775856420}",1775859685
6173302506,985021106,light_sensitivity_value,1775856360,"{""light_sensitivity_value"":0,""time"":1775856360}",1775859672
6173302506,985021106,body_momentum,1775856360,"{""body_momentum"":0,""time"":1775856360}",1775859685
6173302506,985021106,light_sensitivity_value,1775856300,"{""light_sensitivity_value"":0,""time"":1775856300}",1775859672
6173302506,985021106,body_momentum,1775856300,"{""body_momentum"":0,""time"":1775856300}",1775859685
6173302506,985021106,light_sensitivity_value,1775856240,"{""light_sensitivity_value"":0,""time"":1775856240}",1775859672
6173302506,985021106,body_momentum,1775856240,"{""body_momentum"":0,""time"":1775856240}",1775859685
6173302506,985021106,light_sensitivity_value,1775856180,"{""light_sensitivity_value"":0,""time"":1775856180}",1775859672
6173302506,985021106,body_momentum,1775856180,"{""body_momentum"":0,""time"":1775856180}",1775859685
6173302506,985021106,light_sensitivity_value,1775856120,"{""light_sensitivity_value"":0,""time"":1775856120}",1775859672
6173302506,985021106,body_momentum,1775856120,"{""body_momentum"":0,""time"":1775856120}",1775859685
6173302506,985021106,light_sensitivity_value,1775856060,"{""light_sensitivity_value"":0,""time"":1775856060}",1775859672
6173302506,985021106,body_momentum,1775856060,"{""body_momentum"":0,""time"":1775856060}",1775859685
6173302506,985021106,light_sensitivity_value,1775856000,"{""light_sensitivity_value"":0,""time"":1775856000}",1775859672
6173302506,985021106,body_momentum,1775856000,"{""body_momentum"":0,""time"":1775856000}",1775859685
6173302506,985021106,light_sensitivity_value,1775855940,"{""light_sensitivity_value"":0,""time"":1775855940}",1775859672
6173302506,985021106,body_momentum,1775855940,"{""body_momentum"":0,""time"":1775855940}",1775859685
6173302506,985021106,light_sensitivity_value,1775855880,"{""light_sensitivity_value"":0,""time"":1775855880}",1775859672
6173302506,985021106,body_momentum,1775855880,"{""body_momentum"":0,""time"":1775855880}",1775859685
6173302506,985021106,light_sensitivity_value,1775855820,"{""light_sensitivity_value"":0,""time"":1775855820}",1775859672
6173302506,985021106,body_momentum,1775855820,"{""body_momentum"":0,""time"":1775855820}",1775859685
6173302506,985021106,light_sensitivity_value,1775855760,"{""light_sensitivity_value"":0,""time"":1775855760}",1775859672
6173302506,985021106,body_momentum,1775855760,"{""body_momentum"":0,""time"":1775855760}",1775859685
6173302506,985021106,light_sensitivity_value,1775855700,"{""light_sensitivity_value"":0,""time"":1775855700}",1775859672
6173302506,985021106,body_momentum,1775855700,"{""body_momentum"":0,""time"":1775855700}",1775859685
6173302506,985021106,light_sensitivity_value,1775855640,"{""light_sensitivity_value"":0,""time"":1775855640}",1775859672
6173302506,985021106,body_momentum,1775855640,"{""body_momentum"":0,""time"":1775855640}",1775859685
